작성일,종목명,종목코드,제목,적정가격,평가의견,작성자,작성기관,기업정보,첨부파일,현재가격
2025-11-18,이노스페이스,462350, 첫 상용 발사 전 체크리스트 첫 상용 발사 전 체크리스트 첫 상용 발사 전 체크리스트 ,"22,500",Buy,"정지수,박건영",메리츠증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=462350&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644822,13500
2025-11-18,SK오션플랜트,100090, 3Q25 Review 불확실성에 가려진 성장성 3Q25 Review 불확실성에 가려진 성장성 3Q25 Review 불확실성에 가려진 성장성 ,"26,000",Buy,문경원,메리츠증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=100090&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644821,19520
2025-11-18,한온시스템,018880, 순이자비용 완화 기대 고정비 부담은 아직 순이자비용 완화 기대 고정비 부담은 아직 순이자비용 완화 기대 고정비 부담은 아직 ,"4,200",Hold,유민기,상상인증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=018880&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644820,3565
2025-11-18,HRS,036640, 저성장 국면에도 독보이는 업계 최고 수익성 저성장 국면에도 독보이는 업계 최고 수익성 저성장 국면에도 독보이는 업계 최고 수익성 ,0,투자의견없음,"이원재,이희경",한국IR협의회,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=036640&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644818,5350
2025-11-18,금호석유화학,011780, 분명 2026년이 더 나아진다 분명 2026년이 더 나아진다 분명 2026년이 더 나아진다 ,"200,000",Buy,"황규원,서석준",유안타증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=011780&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644813,118200
2025-11-18,젝시믹스,337930, 유연성 유연성 유연성 ,0,NotRated,"권명준,서석준",유안타증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=337930&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644812,4605
2025-11-18,라온시큐어,042510, 백화제방 백화제방 백화제방 ,0,NotRated,"권명준,서석준",유안타증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=042510&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644811,9640
2025-11-18,유나이티드제약,033270, 신제품 출시로 26년 수익성 회복 기대 신제품 출시로 26년 수익성 회복 기대 신제품 출시로 26년 수익성 회복 기대 ,"30,000",Buy,하현수,유안타증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=033270&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644810,19300
2025-11-18,메리츠금융지주,138040, 선구자 지위는 그대로 달라진 것은 환경 뿐 선구자 지위는 그대로 달라진 것은 환경 뿐 선구자 지위는 그대로 달라진 것은 환경 뿐 ,"140,000",marketperform,"박혜진,권용수",메리츠증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=138040&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644809,110100
2025-11-18,동성화인텍,033500, 3Q25 Re 반성은 차갑게 개선은 뜨겁게 3Q25 Re 반성은 차갑게 개선은 뜨겁게 3Q25 Re 반성은 차갑게 개선은 뜨겁게 ,"44,000",매수,오지훈,IBK투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=033500&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644802,27900
